ts, pressure, pressureSetPoint, chamberState, valve1, valve2, valve3, valve4, boardTemp, chamberTemp, thermTemp, thermSetPoint, LEDBrightness, LEDDutyCycle
2017-06-29T17:54:06.883Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:07.868Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:08.882Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:09.879Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:10.888Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:11.894Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:12.894Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:13.897Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:14.900Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:15.905Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:16.914Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:17.917Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:18.924Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:19.924Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:20.927Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:21.933Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:22.939Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:23.944Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:24.948Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:25.953Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:26.956Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:27.961Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:28.965Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:29.966Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:30.970Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:31.973Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:32.976Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:33.982Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:34.983Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:35.987Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:36.990Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:37.993Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:38.998Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:40.001Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:41.008Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:42.019Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:43.018Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:44.023Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:45.025Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:46.028Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:47.030Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:48.033Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:49.040Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:50.044Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:51.053Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:52.063Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:53.073Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:54.081Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:55.088Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:56.095Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:57.102Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:58.107Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:54:59.106Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
